timestamp,traffic_volume,weather,is_holiday,temperature,humidity,weather_condition
2023-01-01 00:00:00,910,Cloudy,0,3.2,22.7,Cloudy
2023-01-01 01:00:00,3822,Rainy,0,36.7,60.2,Rainy
2023-01-01 02:00:00,3142,Rainy,1,26.0,45.1,Rainy
2023-01-01 03:00:00,516,Sunny,0,27.7,34.4,Sunny
2023-01-01 04:00:00,4476,Sunny,0,1.0,80.0,Sunny
2023-01-01 05:00:00,3494,Sunny,0,12.2,36.4,Sunny
2023-01-01 06:00:00,3221,Sunny,0,20.9,75.0,Sunny
2023-01-01 07:00:00,2969,Snowy,0,28.5,47.9,Snowy
2023-01-01 08:00:00,180,Rainy,0,-4.8,60.9,Rainy
2023-01-01 09:00:00,1735,Sunny,0,38.1,94.7,Sunny
2023-01-01 10:00:00,819,Rainy,0,34.5,23.0,Rainy
2023-01-01 11:00:00,2441,Sunny,0,3.5,60.0,Sunny
2023-01-01 12:00:00,2483,Sunny,0,31.1,88.4,Sunny
2023-01-01 13:00:00,1234,Rainy,0,15.9,67.0,Rainy
2023-01-01 14:00:00,4605,Rainy,0,13.1,42.1,Rainy
2023-01-01 15:00:00,3435,Sunny,1,5.7,51.8,Sunny
2023-01-01 16:00:00,4167,Rainy,0,19.0,74.4,Rainy
2023-01-01 17:00:00,4893,Rainy,0,26.5,91.3,Rainy
2023-01-01 18:00:00,2954,Cloudy,1,10.5,23.3,Cloudy
2023-01-01 19:00:00,524,Sunny,0,21.5,25.7,Sunny
2023-01-01 20:00:00,1132,Sunny,0,25.0,46.0,Sunny
2023-01-01 21:00:00,2608,Snowy,0,25.6,38.6,Snowy
2023-01-01 22:00:00,2097,Sunny,1,-7.4,41.2,Sunny
2023-01-01 23:00:00,2797,Sunny,0,33.0,37.7,Sunny
2023-01-02 00:00:00,1025,Snowy,0,12.9,35.7,Snowy
2023-01-02 01:00:00,1856,Cloudy,0,3.1,30.4,Cloudy
2023-01-02 02:00:00,239,Cloudy,0,2.1,94.7,Cloudy
2023-01-02 03:00:00,2784,Sunny,0,14.2,31.5,Sunny
2023-01-02 04:00:00,3055,Sunny,0,34.3,36.4,Sunny
2023-01-02 05:00:00,4708,Rainy,0,8.9,39.7,Rainy
2023-01-02 06:00:00,1949,Sunny,0,27.5,94.6,Sunny
2023-01-02 07:00:00,1317,Sunny,0,-5.2,80.5,Sunny
2023-01-02 08:00:00,1578,Rainy,0,13.8,83.2,Rainy
2023-01-02 09:00:00,3252,Rainy,0,39.6,28.4,Rainy
2023-01-02 10:00:00,3606,Cloudy,0,28.5,86.9,Cloudy
2023-01-02 11:00:00,3940,Cloudy,1,0.5,52.7,Cloudy
2023-01-02 12:00:00,696,Rainy,0,15.1,41.0,Rainy
2023-01-02 13:00:00,2938,Sunny,0,1.7,66.1,Sunny
2023-01-02 14:00:00,2485,Sunny,0,10.5,85.8,Sunny
2023-01-02 15:00:00,650,Sunny,0,29.0,82.3,Sunny
2023-01-02 16:00:00,2413,Rainy,1,28.6,91.2,Rainy
2023-01-02 17:00:00,2111,Sunny,0,1.4,94.3,Sunny
2023-01-02 18:00:00,291,Rainy,0,36.1,39.0,Rainy
2023-01-02 19:00:00,2091,Sunny,0,19.6,53.9,Sunny
