timestamp,temperature,humidity,weather_condition
2023-01-01 00:00:00,3.2,22.7,Cloudy
2023-01-01 01:00:00,36.7,60.2,Rainy
2023-01-01 02:00:00,26.0,45.1,Rainy
2023-01-01 03:00:00,27.7,34.4,Sunny
2023-01-01 04:00:00,1.0,80.0,Sunny
2023-01-01 05:00:00,12.2,36.4,Sunny
2023-01-01 06:00:00,20.9,75.0,Sunny
2023-01-01 07:00:00,28.5,47.9,Snowy
2023-01-01 08:00:00,-4.8,60.9,Rainy
2023-01-01 09:00:00,38.1,94.7,Sunny
2023-01-01 10:00:00,34.5,23.0,Rainy
2023-01-01 11:00:00,3.5,60.0,Sunny
2023-01-01 12:00:00,31.1,88.4,Sunny
2023-01-01 13:00:00,15.9,67.0,Rainy
2023-01-01 14:00:00,13.1,42.1,Rainy
2023-01-01 15:00:00,5.7,51.8,Sunny
2023-01-01 16:00:00,19.0,74.4,Rainy
2023-01-01 17:00:00,26.5,91.3,Rainy
2023-01-01 18:00:00,10.5,23.3,Cloudy
2023-01-01 19:00:00,21.5,25.7,Sunny
2023-01-01 20:00:00,25.0,46.0,Sunny
2023-01-01 21:00:00,25.6,38.6,Snowy
2023-01-01 22:00:00,-7.4,41.2,Sunny
2023-01-01 23:00:00,33.0,37.7,Sunny
2023-01-02 00:00:00,12.9,35.7,Snowy
2023-01-02 01:00:00,3.1,30.4,Cloudy
2023-01-02 02:00:00,2.1,94.7,Cloudy
2023-01-02 03:00:00,14.2,31.5,Sunny
2023-01-02 04:00:00,34.3,36.4,Sunny
2023-01-02 05:00:00,8.9,39.7,Rainy
2023-01-02 06:00:00,27.5,94.6,Sunny
2023-01-02 07:00:00,-5.2,80.5,Sunny
2023-01-02 08:00:00,13.8,83.2,Rainy
2023-01-02 09:00:00,39.6,28.4,Rainy
2023-01-02 10:00:00,28.5,86.9,Cloudy
2023-01-02 11:00:00,0.5,52.7,Cloudy
2023-01-02 12:00:00,15.1,41.0,Rainy
2023-01-02 13:00:00,1.7,66.1,Sunny
2023-01-02 14:00:00,10.5,85.8,Sunny
2023-01-02 15:00:00,29.0,82.3,Sunny
2023-01-02 16:00:00,28.6,91.2,Rainy
2023-01-02 17:00:00,1.4,94.3,Sunny
2023-01-02 18:00:00,36.1,39.0,Rainy
2023-01-02 19:00:00,19.6,53.9,Sunny
2023-01-02 20:00:00,9.0,21.2,Rainy
2023-01-02 21:00:00,15.1,90.3,Sunny
2023-01-02 22:00:00,20.3,32.4,Rainy
2023-01-02 23:00:00,18.0,88.9,Sunny
2023-01-03 00:00:00,14.3,46.4,Rainy
2023-01-03 01:00:00,15.2,49.5,Sunny
2023-01-03 02:00:00,-1.2,23.1,Sunny
2023-01-03 03:00:00,30.6,46.2,Cloudy
2023-01-03 04:00:00,17.1,91.1,Cloudy
2023-01-03 05:00:00,-3.4,22.0,Sunny
2023-01-03 06:00:00,28.3,52.5,Sunny
2023-01-03 07:00:00,36.6,22.5,Cloudy
2023-01-03 08:00:00,37.4,49.7,Sunny
2023-01-03 09:00:00,8.5,33.8,Sunny
2023-01-03 10:00:00,-3.2,40.2,Rainy
2023-01-03 11:00:00,15.9,90.2,Sunny
2023-01-03 12:00:00,-4.4,54.9,Sunny
2023-01-03 13:00:00,36.7,41.9,Sunny
2023-01-03 14:00:00,-0.8,67.1,Cloudy
2023-01-03 15:00:00,2.6,31.4,Rainy
2023-01-03 16:00:00,10.3,40.8,Rainy
2023-01-03 17:00:00,9.2,63.7,Rainy
2023-01-03 18:00:00,29.7,39.0,Sunny
2023-01-03 19:00:00,12.8,74.3,Rainy
2023-01-03 20:00:00,-1.5,59.3,Sunny
2023-01-03 21:00:00,3.4,81.8,Sunny
2023-01-03 22:00:00,15.5,95.9,Cloudy
2023-01-03 23:00:00,-2.6,29.3,Sunny
2023-01-04 00:00:00,20.6,46.8,Rainy
2023-01-04 01:00:00,18.3,45.6,Sunny
2023-01-04 02:00:00,25.7,32.1,Sunny
2023-01-04 03:00:00,36.9,84.8,Rainy
2023-01-04 04:00:00,35.6,80.8,Sunny
2023-01-04 05:00:00,37.3,58.8,Sunny
2023-01-04 06:00:00,2.2,63.0,Rainy
2023-01-04 07:00:00,-3.4,24.8,Sunny
2023-01-04 08:00:00,5.1,64.4,Sunny
2023-01-04 09:00:00,34.8,83.3,Sunny
2023-01-04 10:00:00,38.6,65.9,Sunny
2023-01-04 11:00:00,33.0,41.2,Sunny
2023-01-04 12:00:00,-4.5,73.4,Sunny
2023-01-04 13:00:00,37.4,48.9,Rainy
2023-01-04 14:00:00,11.2,63.6,Cloudy
2023-01-04 15:00:00,-9.5,59.0,Cloudy
2023-01-04 16:00:00,12.1,50.5,Sunny
2023-01-04 17:00:00,-7.7,77.5,Sunny
2023-01-04 18:00:00,17.2,90.7,Rainy
2023-01-04 19:00:00,6.9,20.4,Rainy
2023-01-04 20:00:00,13.7,94.7,Cloudy
2023-01-04 21:00:00,20.7,60.9,Rainy
2023-01-04 22:00:00,33.4,76.1,Snowy
2023-01-04 23:00:00,23.1,88.4,Rainy
2023-01-05 00:00:00,11.7,57.4,Cloudy
2023-01-05 01:00:00,31.0,86.8,Rainy
2023-01-05 02:00:00,35.3,34.2,Sunny
2023-01-05 03:00:00,-4.0,32.7,Sunny
2023-01-05 04:00:00,16.6,72.6,Rainy
2023-01-05 05:00:00,4.2,89.6,Sunny
2023-01-05 06:00:00,-7.6,91.4,Rainy
